Country,Year,GDP,PPI,CPI,M2,Exchange_Rate
United States,2021,1.0,1.0,0.7639553429027114,1.0,0.0
United States,2022,1.0,0.12665198237885464,0.044182621502209106,1.0,0.036756756756756756
United States,2023,1.0,0.7324973876698014,0.0,1.0,0.0
Japan,2021,0.2223194748358862,0.21881606765327696,0.1499202551834131,0.10681114551083594,0.2734553775743707
Japan,2022,0.2180417044424297,0.43061674008810574,0.28424153166421207,0.16882329154872625,0.12648648648648647
Japan,2023,0.19669351420093256,0.37513061650992685,0.4505169867060562,0.17117738320979142,0.1745635910224439
Germany,2021,0.16717724288840263,0.620507399577167,0.0,0.16847265221878224,0.12814645308924486
Germany,2022,0.15911151405258384,1.0,0.979381443298969,0.15386170642943797,0.2951351351351351
Germany,2023,0.14963967782958879,0.7074190177638453,0.4342688330871492,0.04326840199965524,0.5236907730673317
United Kingdom,2021,0.1334792122538293,0.9556025369978859,0.2360446570972887,0.14396284829721362,0.2814645308924485
United Kingdom,2022,0.1482320942883046,0.5572687224669604,0.17378497790868924,0.1670036393044885,0.7783783783783784
United Kingdom,2023,0.1479440440864773,0.9278996865203762,0.5982274741506648,0.14807791760041372,0.042394014962593526
France,2021,0.11159737417943105,0.04228329809725158,0.3110047846889952,0.08023735810113519,0.2379862700228833
France,2022,0.12647325475974613,0.3480176211453745,0.27393225331369664,0.08936514355034372,0.1275675675675676
France,2023,0.11742263671047053,0.07105538140020898,1.0,0.10325805895535252,0.17331670822942646
Italy,2021,0.07483588621444201,0.8562367864693446,0.736842105263158,0.08746130030959753,0.7814645308924485
Italy,2022,0.07660924750679962,0.3491189427312775,0.10309278350515463,0.08026688232915488,0.6227027027027027
Italy,2023,0.07503179313268334,0.05956112852664575,0.30132939438700146,0.03533873470091364,0.8017456359102244
Canada,2021,0.07877461706783369,0.9323467230443976,0.4752791068580542,0.026573787409700723,0.7185354691075515
Canada,2022,0.08159564823209427,0.5726872246696035,0.7790868924889544,0.05357864941366761,0.5199999999999999
Canada,2023,0.07206443408223821,0.01880877742946708,0.09158050221565732,0.013445957593518357,0.6920199501246883
Australia,2021,0.05733041575492341,0.53276955602537,0.960127591706539,0.027605779153766774,0.3890160183066362
Australia,2022,0.062103354487760644,0.20704845814977973,0.06332842415316642,0.02668823291548727,0.14810810810810807
Australia,2023,0.05977108944467994,0.8369905956112852,0.6336779911373707,0.06119634545767972,0.8890274314214466
South Korea,2021,0.06433260393873085,0.9386892177589852,0.5502392344497609,0.08255933952528381,0.9164759725400458
South Korea,2022,0.06663644605621033,0.07599118942731278,0.21944035346097202,0.038617064294379305,0.8227027027027026
South Korea,2023,0.06824925816023737,0.0,0.5081240768094535,0.038441647991725565,0.20074812967581046
Russia,2021,0.06345733041575492,0.3520084566596195,1.0,0.038183694530443756,0.5068649885583524
Russia,2022,0.07116953762466001,0.355726872246696,0.9852724594992636,0.0826930853214719,0.2410810810810811
Russia,2023,0.06401017380245866,0.3072100313479624,0.27326440177252587,0.01206688501982417,0.6596009975062345
Brazil,2021,0.05908096280087526,0.048625792811839326,0.2583732057416268,0.0846233230134159,0.20366132723112126
Brazil,2022,0.055303717135086125,0.49339207048458156,1.0,0.02042054185200162,0.6735135135135135
Brazil,2023,0.05807545570156845,0.2413793103448276,0.7326440177252584,0.02999482847784865,0.6870324189526185
India,2021,0.1334792122538293,0.5613107822410148,0.04784688995215308,0.17389060887512903,0.29176201372997707
India,2022,0.1269265639165911,0.0,0.5935198821796759,0.10695511524464213,0.0
India,2023,0.12547689699025008,0.22884012539184953,0.6469719350073855,0.04188932942596105,0.7556109725685786
Mexico,2021,0.04463894967177243,0.9852008456659621,0.10047846889952151,0.026573787409700723,0.06636155606407323
Mexico,2022,0.04941069809610153,0.9207048458149779,0.2503681885125184,0.04164981803477558,0.8216216216216216
Mexico,2023,0.04281475201356506,0.5464994775339602,0.22895125553914328,0.009653508015859336,1.0
Indonesia,2021,0.039387308533916844,0.66384778012685,0.3253588516746412,0.02347781217750258,0.7322654462242563
Indonesia,2022,0.03898458748866726,0.931718061674009,0.7879234167893961,0.032551556813586735,0.06918918918918919
Indonesia,2023,0.03136922424756252,0.9320794148380355,0.6070901033973413,0.003447681434235478,0.057356608478802994
Turkey,2021,0.03326039387308534,0.0,0.12759170653907495,0.029927760577915376,0.6945080091533181
Turkey,2022,0.03263825929283771,0.20154185022026433,0.7187039764359352,0.010109179134654268,0.31675675675675674
Turkey,2023,0.03094531581178465,0.6718913270637408,0.8567208271787298,0.02706429925874849,0.6109725685785536
Saudi Arabia,2021,0.02100656455142232,0.38372093023255816,0.24401913875598086,0.006191950464396285,1.0
Saudi Arabia,2022,0.021758839528558477,0.9372246696035242,0.6347569955817378,0.023655479175090983,0.49945945945945946
Saudi Arabia,2023,0.021195421788893595,0.5078369905956113,0.18168389955686856,0.02154800896397173,0.27057356608478805
South Africa,2021,0.0,0.6765327695560255,0.1451355661881978,0.004127966976264191,0.9794050343249429
South Africa,2022,0.0,0.3623348017621145,0.0,0.005054589567327134,0.4227027027027027
South Africa,2023,0.0,1.0,0.8611521418020679,0.0,0.39401496259351626
Argentina,2021,0.00612691466083151,0.32980972515856244,0.13716108452950557,0.004643962848297213,0.9599542334096111
Argentina,2022,0.004079782411604713,0.5825991189427313,0.08394698085419733,0.004245855236554791,1.0
Argentina,2023,0.0025434506146672312,0.5339602925809822,0.8862629246676513,0.007067746940182728,0.7630922693266834
Spain,2021,0.05207877461706783,0.37420718816067655,0.2759170653907496,0.0673374613003096,0.8237986270022882
Spain,2022,0.053490480507706245,0.960352422907489,0.5110456553755522,0.03538212697128994,0.8021621621621622
