Country,Year,Score
United States,2021,2.158772341280445
Japan,2021,2.722783752538998
Germany,2021,3.27313118301285
United Kingdom,2021,2.3223585217829332
France,2021,2.3847063686370777
India,2021,2.601300196874334
Italy,2021,2.9741070229618622
Brazil,2021,1.8694897581580103
Canada,2021,0.5716682570119732
Russia,2021,1.7996565316767592
South Korea,2021,1.9955169706544964
Australia,2021,1.316670265425914
Spain,2021,0.6360608643913332
Mexico,2021,2.106654634978744
Indonesia,2021,1.9261130123919277
Netherlands,2021,0.9561509686870654
Turkey,2021,0.6206837831919457
Switzerland,2021,1.8325923871752254
Saudi Arabia,2021,2.0506810267185394
Argentina,2021,1.7061174127070977
United States,2022,1.8281272013721352
Japan,2022,4.287495912872798
Germany,2022,2.6780148043118857
United Kingdom,2022,2.7868278717159494
France,2022,2.3954673726435107
India,2022,1.8478353246321644
Italy,2022,1.6862802672080743
Brazil,2022,2.020236119842572
Canada,2022,2.081518427419357
Russia,2022,2.2501711491730445
South Korea,2022,1.7152119947398685
Australia,2022,1.7904468492317716
Spain,2022,2.227094060291491
Mexico,2022,1.4740203675845354
Indonesia,2022,2.6461853359858063
Netherlands,2022,1.9248258681053942
Turkey,2022,1.385662850138199
Switzerland,2022,0.7221640680258956
Saudi Arabia,2022,2.124661246890413
Argentina,2022,1.1985417940418306
United States,2023,1.5123504445517963
Japan,2023,4.28888912547227
Germany,2023,3.6356525661962107
United Kingdom,2023,2.5475341367322035
France,2023,2.3029710852659204
India,2023,2.810119820794306
Italy,2023,1.6825305773093635
Brazil,2023,1.6176694924960535
Canada,2023,0.8840586503657432
Russia,2023,2.2348922177828534
South Korea,2023,2.3541228793032545
Australia,2023,1.5962887337100682
Spain,2023,1.4426261015838804
Mexico,2023,1.8382763679620897
Indonesia,2023,2.527343947337703
Netherlands,2023,1.0327931013178893
Turkey,2023,1.735531832459034
Switzerland,2023,1.0115322332329437
Saudi Arabia,2023,1.1102691722394569
Argentina,2023,0.5671284300649229
